posts,annotations
masakit ang lalamunan,AURI
ubo,AURI
masakit ang lalamunan,AURI
masakit ang lalamunan,AURI
sipon,AURI
ubo,AURI
sipon,AURI
ubo,AURI
ubo,AURI
masakit ang lalamunan,AURI
ubo,AURI
ubo,AURI
ubo,AURI
ubo,AURI
sipon,AURI
masakit ang lalamunan,AURI
masakit ang lalamunan,AURI
ubo,AURI
sipon,AURI
sipon,AURI
sipon,AURI
ubo,AURI
sipon,AURI
masakit ang lalamunan,AURI
sipon,AURI
sipon,AURI
masakit ang lalamunan,AURI
masakit ang lalamunan,AURI
ubo,AURI
masakit ang lalamunan,AURI
sipon,AURI
ubo,AURI
sipon,AURI
masakit ang lalamunan,AURI
ubo,AURI
masakit ang lalamunan,AURI
masakit ang lalamunan,AURI
masakit ang lalamunan,AURI
ubo,AURI
sipon,AURI
ubo,AURI
sipon,AURI
ubo,AURI
ubo,AURI
masakit ang lalamunan,AURI
sipon,AURI
masakit ang lalamunan,AURI
ubo,AURI
sipon,AURI
sipon,AURI
masakit ang lalamunan,AURI
masakit ang lalamunan,AURI
ubo,AURI
sipon,AURI
masakit ang lalamunan,AURI
ubo,AURI
sipon,AURI
masakit ang lalamunan,AURI
ubo,AURI
sipon,AURI
masakit ang lalamunan,AURI
ubo,AURI
sipon,AURI
sipon pulmonya,"AURI, COVID"
sipon ubo,"AURI, COVID"
sipon pulmonya,"AURI, COVID"
ubo pulmonya,"AURI, COVID"
ubo ubo,"AURI, COVID"
ubo ubo,"AURI, COVID"
sipon hirap sa paghinga,"AURI, COVID"
sipon hirap sa paghinga,"AURI, COVID"
sipon hirap sa paghinga,"AURI, COVID"
ubo ubo,"AURI, COVID"
ubo hirap sa paghinga,"AURI, COVID"
masakit ang lalamunan hirap sa paghinga,"AURI, COVID"
ubo pulmonya,"AURI, COVID"
ubo pulmonya,"AURI, COVID"
ubo pulmonya,"AURI, COVID"
masakit ang lalamunan ubo,"AURI, COVID"
masakit ang lalamunan hirap sa paghinga,"AURI, COVID"
ubo hirap sa paghinga,"AURI, COVID"
masakit ang lalamunan ubo,"AURI, COVID"
masakit ang lalamunan hirap sa paghinga,"AURI, COVID"
sipon hirap sa paghinga,"AURI, COVID"
sipon ubo,"AURI, COVID"
ubo ubo,"AURI, COVID"
ubo pulmonya,"AURI, COVID"
masakit ang lalamunan pulmonya,"AURI, COVID"
ubo hirap sa paghinga,"AURI, COVID"
sipon pulmonya,"AURI, COVID"
masakit ang lalamunan ubo,"AURI, COVID"
masakit ang lalamunan hirap sa paghinga,"AURI, COVID"
sipon hirap sa paghinga,"AURI, COVID"
sipon ubo,"AURI, COVID"
ubo ubo,"AURI, COVID"
ubo pulmonya,"AURI, COVID"
masakit ang lalamunan pulmonya,"AURI, COVID"
ubo hirap sa paghinga,"AURI, COVID"
sipon pulmonya,"AURI, COVID"
masakit ang lalamunan ubo,"AURI, COVID"
masakit ang lalamunan hirap sa paghinga,"AURI, COVID"
sipon hirap sa paghinga,"AURI, COVID"
sipon ubo,"AURI, COVID"
ubo ubo,"AURI, COVID"
ubo pulmonya,"AURI, COVID"
masakit ang lalamunan pulmonya,"AURI, COVID"
ubo hirap sa paghinga,"AURI, COVID"
sipon pulmonya,"AURI, COVID"
masakit ang lalamunan ubo,"AURI, COVID"
masakit ang lalamunan hirap sa paghinga,"AURI, COVID"
sipon hirap sa paghinga,"AURI, COVID"
sipon ubo,"AURI, COVID"
ubo ubo,"AURI, COVID"
ubo pulmonya,"AURI, COVID"
masakit ang lalamunan pulmonya,"AURI, COVID"
ubo hirap sa paghinga,"AURI, COVID"
sipon pulmonya,"AURI, COVID"
sipon pulmonya mataas na lagnat,"AURI, COVID, PN"
ubo ubo sakit sa dibdib,"AURI, COVID, PN"
masakit ang lalamunan hirap sa paghinga hirap sa paghinga,"AURI, COVID, PN"
sipon pulmonya hirap sa paghinga,"AURI, COVID, PN"
ubo ubo sakit sa dibdib,"AURI, COVID, PN"
masakit ang lalamunan ubo sakit sa dibdib,"AURI, COVID, PN"
ubo ubo mataas na lagnat,"AURI, COVID, PN"
ubo ubo hirap sa paghinga,"AURI, COVID, PN"
masakit ang lalamunan ubo hirap sa paghinga,"AURI, COVID, PN"
ubo ubo sakit sa dibdib,"AURI, COVID, PN"
masakit ang lalamunan pulmonya sakit sa dibdib,"AURI, COVID, PN"
sipon pulmonya mataas na lagnat,"AURI, COVID, PN"
masakit ang lalamunan ubo sakit sa dibdib,"AURI, COVID, PN"
masakit ang lalamunan hirap sa paghinga hirap sa paghinga,"AURI, COVID, PN"
masakit ang lalamunan ubo mataas na lagnat,"AURI, COVID, PN"
ubo pulmonya sakit sa dibdib,"AURI, COVID, PN"
